f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
0,0,0,1,1,0,1,0,0,1,0,1,0,1
0,0,1,1,0,1,0,0,1,0,0,1,0,1
1,1,0,0,0,0,0,0,1,1,0,0,1,1
0,0,1,1,0,1,0,1,1,0,0,1,1,1
0,1,1,1,0,0,0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,0,1,0,1,1,1,2
0,1,0,0,0,0,1,1,1,1,0,1,1,1
1,1,0,0,1,0,1,0,0,0,0,1,0,2
1,1,1,0,1,0,1,1,0,0,1,1,1,2
0,1,1,1,0,0,0,0,1,1,0,0,0,1
1,0,0,0,0,1,1,0,1,0,0,0,1,2
0,0,0,1,0,0,0,1,1,1,0,1,1,1
1,1,0,1,1,1,0,1,1,0,0,0,0,2
1,1,0,1,0,0,0,1,0,0,1,0,1,1
1,1,1,0,1,0,1,1,0,0,0,0,1,2
1,0,1,1,1,0,0,1,0,1,0,0,0,2
0,0,1,0,1,0,0,1,1,1,1,0,0,2
1,1,0,1,0,1,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,1,0,0,1,1,1
1,0,0,1,0,0,0,0,1,1,1,1,1,2
1,0,1,0,1,0,0,1,0,0,0,1,0,2
1,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,1,1,1,0,0,0,1,1,0,1,0,2
1,0,0,0,0,1,1,0,1,1,1,1,1,2
1,1,0,0,1,0,0,0,1,1,1,1,0,2
0,0,0,1,1,1,1,1,1,1,1,0,1,2
0,1,0,0,1,0,1,1,0,1,1,1,1,2
0,0,0,0,0,0,0,1,0,1,0,1,1,1
0,1,0,0,0,0,0,1,0,1,1,0,0,1
1,1,1,0,0,1,1,1,1,1,1,0,0,2
1,1,1,1,0,1,0,0,1,0,1,1,1,2
1,0,0,1,0,0,0,1,0,1,1,1,0,1
0,1,1,0,1,1,0,0,0,0,1,0,1,2
1,0,0,0,0,1,1,0,1,1,0,1,1,2
1,0,0,0,0,0,1,0,1,1,1,1,1,2
1,1,1,1,0,0,1,0,0,1,0,1,0,2
1,1,0,0,0,1,1,0,0,1,0,1,1,1
1,0,0,0,0,1,0,1,0,0,1,0,1,1
1,1,1,1,1,0,0,0,0,0,1,1,0,2
1,1,0,1,0,0,1,1,0,1,0,0,0,1
1,1,1,1,0,1,0,1,0,0,1,0,0,2
1,0,1,1,0,1,0,0,0,0,0,1,1,1
1,1,0,1,1,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,1,1,0,1
1,1,1,0,1,0,1,1,1,1,0,0,0,2
0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,0,1,1,1,0,1
1,0,0,1,0,0,1,0,0,1,0,1,0,1
0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,1,0,0,1,1,0,1,0,1,1,1,1,1
0,1,0,1,1,0,0,1,1,1,1,1,0,2
0,0,0,0,1,1,0,1,1,1,0,1,1,1
0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,1,0,1,1,0,1,0,1,0,1,1,1,2
0,0,1,1,1,1,0,0,1,0,0,1,0,2
0,1,0,1,0,0,0,0,1,0,1,0,0,1
0,1,1,1,0,1,1,0,0,1,1,0,1,2
0,0,1,0,0,0,1,1,1,1,1,1,1,2
0,1,0,0,1,0,1,0,1,0,1,1,0,2
0,0,1,0,1,0,1,0,0,1,0,1,0,2
1,0,1,1,1,1,0,0,0,0,0,1,0,2
0,1,0,1,1,0,1,1,0,0,1,1,0,2
1,1,1,0,1,0,0,1,1,1,0,0,1,2
0,0,0,0,0,0,1,0,1,1,0,0,0,1
1,0,1,0,0,0,1,1,0,1,0,0,0,2
1,1,0,1,1,1,1,1,1,0,1,0,0,2
0,1,1,0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,1,0,1,1,1,0,0,0,1
1,0,1,0,1,1,1,0,1,1,0,1,1,2
0,1,0,0,1,0,1,1,1,0,1,1,0,2
0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,1,0,0,0,2
1,1,1,0,1,1,0,1,0,0,1,1,1,2
1,1,1,1,1,0,1,1,0,1,1,0,1,2
0,1,0,1,1,1,0,1,0,1,0,0,0,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,1,0,1,1,0,0,1,1,1,0,1,0,2
0,0,1,1,1,1,0,1,1,0,0,1,0,2
1,1,1,1,1,0,0,1,1,1,0,1,0,2
1,0,1,1,1,1,1,0,0,0,1,0,1,2
0,1,0,0,1,1,1,0,0,0,0,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,0,2
1,0,1,0,0,0,1,0,0,0,1,1,1,2
1,1,1,1,1,1,1,1,1,0,1,0,1,2
1,0,0,1,0,0,0,0,0,0,0,1,0,1
0,1,1,1,0,0,0,0,1,0,1,1,1,2
0,1,0,1,0,0,1,1,1,0,1,1,0,2
1,1,0,0,1,0,1,0,1,0,0,1,0,2
0,1,1,1,1,1,0,1,0,0,1,0,1,2
1,0,0,0,0,1,0,0,1,1,0,1,0,1
1,1,0,0,1,0,0,0,1,1,1,1,0,2
0,0,0,0,1,1,0,0,1,0,1,1,0,2
1,1,0,0,1,1,1,1,1,0,0,1,0,2
1,0,1,1,1,1,1,1,1,0,0,1,0,2
1,1,0,1,1,1,0,1,1,1,0,0,0,2
0,0,0,1,0,0,0,1,1,1,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,0,1
1,1,1,1,0,1,1,0,0,1,0,0,0,2
1,1,1,1,1,0,0,1,0,1,1,1,0,2
1,0,0,0,1,1,1,0,0,1,1,1,0,2
1,0,0,0,0,0,1,0,1,1,0,1,0,2
0,0,1,1,0,1,0,0,1,1,1,0,1,2
1,0,0,0,0,1,0,0,1,1,0,1,1,1
0,0,1,1,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,0,0,0,0,0,0,1,1,1
1,0,1,0,1,1,0,0,1,1,1,1,1,2
1,1,0,0,0,0,1,1,0,0,1,1,0,2
1,1,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,1,1,0,1,1,0,1,1,1,0,2
1,1,1,0,0,1,0,0,1,0,0,0,0,2
1,1,0,0,1,0,0,1,0,1,1,1,0,2
1,0,1,1,1,0,0,0,1,0,1,1,1,2
1,1,1,1,0,0,0,0,0,1,0,0,1,1
0,1,0,1,1,0,0,0,1,1,1,1,1,2
0,0,1,1,1,0,0,0,1,0,1,1,0,2
1,1,1,0,0,1,1,0,1,1,0,1,1,2
1,0,0,1,1,0,1,0,1,0,0,0,0,2
1,0,1,1,1,1,0,0,1,0,1,0,0,2
0,1,1,1,1,0,1,1,1,1,0,0,1,2
1,0,0,1,1,1,0,0,0,1,1,0,1,2
0,0,0,1,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,1,0,1,0,0,2
0,1,1,0,0,1,1,1,1,1,0,0,0,2
0,0,0,0,1,0,1,1,1,1,1,1,1,2
1,1,1,1,0,1,0,1,1,1,0,0,0,2
1,1,0,0,1,0,0,1,0,1,0,1,0,1
1,0,0,0,0,1,0,1,0,0,0,0,1,1
1,1,1,1,0,0,0,0,0,0,1,1,1,2
1,0,1,1,1,1,1,1,1,1,0,1,0,2
0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,1,1,1,0,1,0,0,0,1,1,1,0,1
0,1,0,0,1,0,1,0,0,0,1,0,1,2
0,0,1,1,1,0,0,0,1,0,1,1,0,2
1,0,1,1,0,0,0,0,0,1,0,1,1,1
1,1,1,1,1,1,0,0,0,1,0,0,1,2
0,0,1,1,1,0,0,0,1,0,0,1,1,2
0,1,1,0,0,0,1,1,0,0,0,0,1,1
0,1,1,0,0,1,1,1,1,0,0,1,0,2
1,1,1,1,0,1,0,0,1,0,0,1,0,2
0,1,0,0,0,1,1,0,1,0,1,0,1,2
0,0,1,1,1,1,1,0,0,1,1,0,1,2
1,0,0,0,0,0,1,1,1,0,0,0,0,2
1,0,1,0,0,0,0,1,1,1,0,0,1,2
0,0,1,0,1,0,1,1,0,1,0,1,0,2
1,1,0,1,1,0,0,1,0,0,1,0,1,2
0,0,0,1,1,0,1,0,1,0,0,0,0,2
0,1,0,0,0,1,1,0,0,1,0,0,0,1
0,0,1,1,0,1,1,0,0,0,0,1,1,1
1,0,1,1,0,0,1,0,0,1,1,1,1,2
1,0,0,0,0,0,0,1,1,0,1,0,0,2
1,1,1,1,0,0,1,1,0,1,1,1,1,2
1,0,0,1,1,1,1,1,1,0,0,0,1,2
1,0,0,0,1,0,1,0,1,1,0,0,0,2
0,1,0,1,0,1,1,0,0,1,1,0,0,1
1,0,0,1,1,0,1,0,0,0,0,1,0,2
1,0,1,1,0,1,0,0,1,0,0,0,0,2
0,1,1,0,0,0,0,0,1,0,0,1,0,1
0,1,0,1,0,1,1,1,0,0,0,0,0,1
1,0,0,0,0,1,1,1,1,1,0,0,0,2
1,0,0,0,0,1,0,0,0,0,1,0,1,1
1,0,1,1,0,1,1,1,1,1,0,0,0,2
1,0,0,1,0,0,1,0,0,1,1,0,1,2
0,0,0,0,1,1,0,1,0,0,0,1,1,1
1,0,1,1,1,1,1,1,0,1,1,0,0,2
0,1,1,0,1,1,1,1,1,0,1,1,1,2
1,0,1,1,1,0,1,1,0,0,0,1,0,2
0,1,1,0,1,1,0,0,0,1,0,1,0,1
1,1,1,1,1,1,1,0,0,0,1,1,1,2
1,0,1,0,0,0,1,1,0,0,1,0,1,2
1,1,1,0,0,0,1,1,1,0,0,0,1,2
0,1,0,0,0,1,0,0,1,0,0,1,1,1
0,1,0,1,0,1,0,1,1,0,0,1,0,1
1,1,0,0,0,1,1,0,1,1,1,1,1,2
1,1,1,0,0,0,1,1,1,0,0,1,1,2
0,0,1,1,0,1,0,0,1,1,1,0,1,2
0,1,1,1,1,0,0,0,0,1,0,1,0,1
1,1,0,1,1,0,1,0,1,1,1,0,1,2
0,1,1,0,0,1,0,1,1,1,1,1,1,2
1,0,0,1,0,1,0,1,0,1,1,1,0,1
1,0,1,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,1,0,0,0,0,1,2
1,0,0,0,0,1,1,1,0,1,1,0,0,2
0,1,0,0,1,0,0,0,1,1,1,0,0,2
1,0,0,0,1,1,0,0,0,0,1,1,1,2
0,0,1,0,0,1,1,0,1,0,0,1,1,2
1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,1,1,1,0,0,1,1,1,0,2
1,0,0,0,1,0,1,1,0,1,1,0,0,2
1,0,1,1,0,1,1,0,1,1,1,0,1,2
1,0,1,1,0,0,1,0,0,0,0,1,1,2
0,1,1,1,1,0,1,0,0,0,0,1,0,2
1,0,1,1,0,1,1,1,0,1,1,1,0,2
1,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,1,1,0,1,0,0,0,0,1,1
0,1,0,1,1,1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,1,1,1,1,0,2
1,1,0,1,0,0,1,0,1,0,0,1,0,2
0,0,1,1,0,0,1,0,1,1,0,1,1,2
1,0,0,1,1,1,0,1,1,1,0,0,1,2
1,0,1,1,1,0,1,0,1,1,1,0,1,2
0,1,1,1,0,0,1,0,1,0,1,0,0,2
0,1,0,0,0,1,1,0,0,0,0,1,0,1
1,0,1,1,1,1,0,0,0,0,1,0,0,2
0,0,1,0,0,0,1,0,0,0,0,1,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,1
1,0,1,1,0,0,0,1,0,0,1,0,1,2
0,0,1,1,0,1,1,0,1,1,1,0,0,2
1,0,1,1,0,1,1,0,0,1,0,0,0,2
0,1,0,0,0,0,0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,1
1,1,0,1,0,1,0,0,1,0,0,0,1,1
1,0,0,0,1,0,1,0,0,1,1,0,1,2
0,0,1,1,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,1,0,1
0,1,1,0,0,1,1,1,0,0,0,1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,1,1,1,0,1,0,1,0,1
1,1,0,0,0,0,1,0,1,1,0,0,0,2
0,0,0,1,1,1,1,0,1,1,1,0,0,2
1,1,0,0,1,1,1,0,1,0,0,1,0,2
1,0,1,0,0,1,0,1,0,1,0,1,1,1
1,0,1,1,0,0,0,1,1,1,0,0,1,2
0,0,0,1,1,1,1,0,1,0,1,0,1,2
0,1,1,1,1,0,0,0,1,0,0,1,1,2
1,0,0,0,0,0,0,0,1,1,1,0,1,2
1,0,1,1,1,1,0,0,0,1,0,0,1,2
1,1,0,0,0,1,1,0,1,1,0,0,1,2
1,1,0,0,1,1,0,0,0,0,1,1,0,2
1,0,1,0,0,0,1,0,1,1,1,0,0,2
1,1,0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,1,1,0,0,0,0,0,0,1,0,1
1,0,1,1,0,0,0,1,1,0,1,0,1,2
1,1,1,1,1,1,0,1,1,1,1,1,1,2
1,1,1,0,1,1,1,0,0,1,1,1,0,2
0,1,1,0,0,0,0,1,0,1,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,1,1
1,0,0,0,1,1,1,0,1,0,1,1,1,2
1,0,0,1,1,0,0,1,1,0,0,1,1,2
0,0,0,1,0,1,0,0,1,1,1,0,1,1
1,0,0,0,0,1,1,0,0,0,1,0,1,2
0,0,1,0,0,0,0,0,1,0,1,1,1,2
0,0,0,0,0,1,1,0,0,1,0,1,1,1
0,1,0,1,0,1,1,1,1,1,1,1,1,2
1,0,0,0,1,0,1,1,1,1,1,0,1,2
1,1,1,0,0,0,1,1,1,1,0,0,0,2
1,0,0,0,1,1,0,0,1,1,0,0,1,2
1,1,0,1,1,1,0,0,1,1,0,0,0,2
1,1,0,0,1,1,0,1,1,1,0,0,1,2
0,1,0,0,0,1,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,0,1,1,1,1,0,2
1,1,1,1,0,1,0,0,1,1,0,1,1,2
1,0,1,0,0,1,1,0,0,1,1,1,0,2
1,0,1,0,1,0,1,0,1,0,1,0,0,2
0,1,0,0,0,1,0,1,0,0,1,1,0,1
1,0,0,0,0,1,1,0,1,0,0,1,0,2
0,1,1,0,1,1,1,0,1,1,1,0,1,2
1,0,0,0,1,1,1,1,1,1,0,0,1,2
1,0,0,0,0,0,1,1,0,1,1,1,1,2
0,0,0,0,1,0,1,1,0,0,0,1,1,1
0,1,1,0,0,0,1,0,1,1,0,0,1,2
0,1,0,1,0,0,0,1,1,1,1,0,1,1
1,0,1,1,1,1,0,0,0,0,0,1,1,2
1,0,1,0,1,0,1,1,1,0,0,1,1,2
1,1,0,1,0,1,1,1,0,0,1,0,0,2
1,1,0,0,0,0,0,1,0,0,1,1,1,1
1,1,1,0,0,0,1,0,1,1,0,0,1,2
0,0,0,1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,1,0,0,0,0,0,1,0,1,2
0,1,1,1,0,1,1,0,0,0,1,0,1,2
0,0,0,0,0,1,1,1,1,0,1,1,1,2
1,0,0,1,1,0,1,0,1,1,1,1,0,2
0,1,1,0,0,0,1,0,0,1,1,1,0,2
0,0,1,0,1,0,0,1,0,1,1,1,1,2
1,0,0,0,0,0,1,0,1,1,0,0,1,2
0,1,0,1,1,0,1,0,0,0,0,0,1,1
0,1,1,1,0,0,0,1,0,0,1,1,0,1
0,0,0,0,1,0,1,1,0,0,1,1,0,2
0,0,1,0,1,1,0,0,1,0,0,1,1,2
0,1,1,1,0,1,1,0,0,0,1,1,1,2
1,0,1,0,0,1,0,1,1,0,1,1,0,2
0,0,1,1,1,1,0,0,1,0,0,0,1,2
0,1,0,1,0,1,1,1,1,0,0,0,1,1
0,0,0,1,0,0,1,1,1,1,1,0,1,2
0,0,1,0,1,1,1,1,1,0,0,0,1,2
0,0,0,0,0,0,0,0,1,0,1,1,0,1
0,0,1,0,1,1,1,1,1,0,0,1,0,2
1,1,0,0,0,0,0,0,0,0,0,0,1,1
0,1,0,1,1,0,1,0,1,0,1,0,1,2
0,0,0,1,0,1,0,1,1,1,1,0,1,1
0,0,0,0,1,0,1,1,1,0,0,0,0,2
1,0,1,1,0,0,1,0,1,0,1,0,1,2
1,1,0,1,0,0,1,0,1,1,0,0,0,2
1,1,0,1,1,1,0,1,0,0,1,0,0,2
0,0,1,0,1,0,1,1,1,0,0,1,0,2
1,0,1,1,0,0,0,1,0,0,0,0,1,1
1,0,0,1,0,0,1,1,1,0,0,0,1,2
1,0,1,0,1,0,0,0,0,1,0,0,0,2
0,0,0,0,1,1,0,1,0,0,0,1,0,1
1,1,0,1,1,1,0,0,0,1,1,0,1,2
1,1,1,1,1,0,0,0,0,1,1,1,1,2
0,1,1,1,1,0,1,1,1,0,1,1,0,2
1,0,1,1,1,0,1,1,0,0,1,0,0,2
1,1,0,0,0,0,0,1,1,1,1,0,1,2
1,0,0,0,1,1,1,0,0,0,1,1,1,2
1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,1,1,1,1,0,0,0,0,2
0,1,1,0,0,0,0,1,1,0,1,0,1,2
1,1,1,0,1,1,0,1,0,1,0,1,0,2
0,1,0,0,1,0,1,1,0,0,1,0,1,2
1,1,0,1,0,1,0,1,1,1,1,1,1,2
1,0,1,0,0,1,1,0,0,0,1,1,1,2
1,1,1,0,0,0,1,0,1,1,0,1,0,2
1,0,1,1,1,0,1,1,0,0,0,1,0,2
0,0,1,0,1,1,1,0,1,0,0,0,0,2
1,1,0,0,1,0,1,1,1,0,1,0,1,2
0,0,0,1,1,0,1,0,0,1,1,0,1,2
0,0,0,0,0,1,1,1,0,1,1,1,0,1
0,1,1,0,1,1,1,1,1,0,1,0,0,2
0,1,0,0,1,0,0,1,1,0,0,0,1,1
0,1,0,1,1,0,1,1,1,0,0,0,1,2
1,0,0,0,0,0,1,0,0,0,1,0,1,2
0,1,0,0,0,0,0,1,0,1,1,1,0,1
0,1,1,0,0,0,0,0,0,1,1,0,1,1
1,0,0,0,0,0,1,0,1,1,0,1,0,2
0,0,0,1,1,0,0,0,1,0,0,1,1,1
1,0,0,1,0,1,1,0,1,1,1,0,1,2
0,0,0,1,0,0,1,0,0,0,1,0,0,1
0,1,1,1,0,0,0,0,1,0,1,0,0,2
1,0,1,1,1,1,1,1,0,0,0,0,0,2
0,0,1,0,1,1,1,0,1,1,0,1,1,2
1,1,1,1,1,0,1,1,1,1,0,1,0,2
1,1,0,1,1,0,1,1,1,0,0,0,0,2
1,0,0,0,1,1,1,0,1,1,0,0,0,2
